year,name,content,area,budget_submitted,budget_approved,account,department,type,vendor
101,,100-照興坑仔內農路改善工程,楠西區,275,416,農業工程及農路改善,農業局,公開招標,佑吉營造有限公司
101,,101-鹿田苦苓腳農路改善工程,楠西區,1500.35,878,農業工程及農路改善,農業局,公開招標,建欣土木包工業
101,,十三甲段1058地號旁農路改善工程,仁德區,500,764,農業工程及農路改善,農業局,公開招標,長鈺營造工程有限公司
101,,南洲里磚仔井農路改善工程,山上區,1575,1370,農業工程及農路改善,農業局,公開招標,再生營造股份有限公司
101,,南化區小崙里北庄仔農路改善工程,南化區,640,540,農業工程及農路改善,農業局,公開招標,宏昌土木包工業
101,,玉井區豐里里水井溝農路支線改善工程,玉井區,200,250,農業工程及農路改善,農業局,公開招標,冠頂土木包工業
101,,玉井區沙田里獅子山農路改善工程,玉井區,495,467,農業工程及農路改善,農業局,公開招標,晉旺土木包工業
101,,玉井區中正里斗六嶺仔山農路改善工程,玉井區,250,250,農業工程及農路改善,農業局,公開招標,南億營造有限公司
101,,官田區拔林川文山擋土牆興建工程,官田區,1200,1136,農業工程及農路改善,農業局,公開招標,新志發營造廠
101,,歸仁區崙頂里凱旋路一段601巷825弄農田排水改善工程,歸仁區,1296,362,農業工程及農路改善,農業局,公開招標,維信土木包工業
101,,七股區龍山里國安生產區道路改善工程,七股區,500,435,漁業建設,農業局,公開招標,欣欣營造有限公司
101,,七股區三股里三股國小北側魚塭道路改善工程,七股區,420,255,漁業建設,農業局,公開招標,欣欣營造有限公司
101,,城西街二段318巷及青砂街65巷等處養殖區產業道路舖設AC刨除料及瀝青混凝土搶修工作,安南區,93,93,漁業建設,農業局,逕洽廠商,建鑫土木包工業
101,,秀昌里東盟東側漁塭道路改善工程,學甲區,1500,349.5,漁業建設,農業局,公開招標,堯壹土木包工業
101,,學甲區宅港里三處漁塭道路改善工程,學甲區,900,254,漁業建設,農業局,公開招標,吉田土木包工業
101,,安南區城西里溪排港橋旁養殖區道路破損塌陷搶修工作,安南區,31,31,漁業建設,農業局,逕洽廠商,元揚土木包工業
101,,光華里新頭港部落及金長榮公司旁漁塭道路改善工程,學甲區,400,200,漁業建設,農業局,公開招標,吉田土木包工業
101,,光華里南筏仔頭橋西側漁塭道路工程,學甲區,1200,336,漁業建設,農業局,公開招標,吉田土木包工業
101,,佳里區連接文化路漁產道路側溝改善工程,佳里區,1100,420,漁業建設,農業局,公開招標,大乘土木包工業
101,,光華里東盟圍牆旁漁塭道路改善工程,學甲區,1940,306,漁業建設,農業局,公開招標,翔安土木包工業
101,,雙春地區排水擋土牆及水閘門改善工程,北門區,2700,490,漁業建設,農業局,公開招標,世全土木包工業
101,,豐和里東林養護之家旁漁塭道路改善工程,學甲區,475,356,漁業建設,農業局,公開招標,金昌土木包工業
101,,豐和里金朝混凝土場旁漁塭道路路面改善工程,學甲區,350,189,漁業建設,農業局,公開招標,金昌土木包工業
101,,東山區青山里外埔農路改善工程,東山區,2275,2275,農業工程及農路改善,農業局,公開招標,明川土木包工業
101,,東山區嶺南里大埤內農路改善工程,東山區,198,198,農業工程及農路改善,農業局,公開招標,茂盛土木包工業
101,,東山區三榮里下寮子農路排水溝改善工程,東山區,600,600,農業工程及農路改善,農業局,公開招標,茂盛土木包工業
101,,北門區二重港地區產業道路路面擋土牆改善工程,北門區,1200,1200,農業工程及農路改善,農業局,公開招標,東拓土木包工業
101,,大內區二溪里牛稠口農路改善工程,大內區,1400,1400,農業工程及農路改善,農業局,公開招標,永大土木包工業
101,,麻豆區中民里紀安國小後側農路改善工程,麻豆區,636.48,636.48,農業工程及農路改善,農業局,公開招標,吉田土木包工業
101,,麻豆區中民里謝寮段農路改善工程,麻豆區,354,354,農業工程及農路改善,農業局,公開招標,吉田土木包工業
101,,麻豆區安正里前班高速公路隧道旁產業道路鋪面工程,麻豆區,264,264,農業工程及農路改善,農業局,公開招標,吉田土木包工業
101,,100-龜丹少盔農路改善工程,楠西區,756,756,農業工程及農路改善,農業局,公開招標,長青土木包工業
101,,101-龜丹豬母寮農路改善工程,楠西區,204,204,農業工程及農路改善,農業局,公開招標,長青土木包工業
101,,101-龜丹里溫泉農路改善工程,楠西區,195.2,195.2,農業工程及農路改善,農業局,公開招標,長青土木包工業
101,,平陽里中平農路改善工程,山上區,2470,2470,農業工程及農路改善,農業局,公開招標,久明土木包工業
101,,麻豆區中民里高速公路西側謝寮段農路舖面工程,麻豆區,1485,1485,農業工程及農路改善,農業局,公開招標,戴竹工程有限公司
101,,101-龜丹大坪農路改善工程,楠西區,1000,1000,農業工程及農路改善,農業局,公開招標,聖銘營造有限公司
101,,101-龜丹嚴仔頂農路改善工程,楠西區,3220,3220,農業工程及農路改善,農業局,公開招標,聖銘營造有限公司
101,,100-照興坡腳、興北等農路改善工程,楠西區,460,460,農業工程及農路改善,農業局,公開招標,長青土木包工業
101,,100-楠西火碳、灣丘南寮、照興口山頂等農路改善工程,楠西區,270,750,農業工程及農路改善,農業局,公開招標,長青土木包工業
101,,大坪里鳥仔寮農路改善工程,龍崎區,1832,1832,農業工程及農路改善,農業局,公開招標,永興土木包工業
101,,龍船里埤仔農路及排水改善工程,龍崎區,1960,1960,農業工程及農路改善,農業局,公開招標,芳年土木包工業
101,,中坑里菩提寺附近農路改善工程,龍崎區,693.6,693.6,農業工程及農路改善,農業局,公開招標,明貴營造有限公司
101,,中坑里高速公路旁農路改善工程,龍崎區,514.8,514.8,農業工程及農路改善,農業局,公開招標,明貴營造有限公司
101,,雙春地區魚塭道路擋土牆改善工程,北門區,600,480,漁業建設,農業局,公開招標,世全土木包工業
101,,看坪里(十一份)漁產道路改善工程,七股區,1830,536,漁業建設,農業局,辦理發包中,
101,,十份里新生段漁產道路改善工程,七股區,720,525,漁業建設,農業局,公開招標,百利土木包工業
101,,城西街1010巷等處養殖區產業道路舖設AC刨除料及瀝青混凝土搶修工作,安南區,97,97,漁業建設,農業局,逕洽廠商,元揚土木包工業
101,,平和里西平寮漁塭道路改善工程,學甲區,1220,384,漁業建設,農業局,公開招標,翔安土木包工業
101,,臺南市安南區本原街二段123巷農田排水路設置護欄塊及舖設AC搶修工作,安南區,98,98,農業工程及農路改善,農業局,逕洽廠商,日瀛營造有限公司
101,,100-灣丘竹仔圾農路改善工程,楠西區,607.25,690,農業工程及農路改善,農業局,公開招標,建欣土木包工業
101,,官田區南64線旁產業道路擋土牆復建後續工程,官田區,400,380,農業工程及農路改善,農業局,公開招標,聯豐土木包工業
101,,官田區番子渡頭AC產業道路改善工程,官田區,1447.25,1447,農業工程及農路改善,農業局,公開招標,聯豐土木包工業
101,,官田區社子PC農路修建工程,官田區,300,280,農業工程及農路改善,農業局,公開招標,久明土木包工業
101,,官田區社子里產業道路排水溝工程,官田區,480,347,農業工程及農路改善,農業局,公開招標,聯豐土木包工業
101,,中坑里中坑農路改善工程,龍崎區,210,198,農業工程及農路改善,農業局,公開招標,合順興營造有限公司
101,,龍船里向東厝農路及排水改善工程,龍崎區,536,256,農業工程及農路改善,農業局,公開招標,合順興營造有限公司
101,,佳里區安西里農路改善工程,佳里區,500,336,農業工程及農路改善,農業局,公開取得,吉田土木包工業
101,,佳里區建南里往成功路農路改善工程,佳里區,920,882,農業工程及農路改善,農業局,公開取得,大承土木包工業
101,,關廟區東勢大湖農路支線改善工程,關廟區,999.3,336,農業工程及農路改善,農業局,公開招標,國誠營造股份有限公司
101,,大內區頭社西拉雅公園後方農路改善工程,大內區,290,290,農業工程及農路改善,農業局,公開招標,奕晨土木包工業
101,,關廟區深坑內潭農路支線擋土牆工程,關廟區,336,340,農業工程及農路改善,農業局,公開招標,國誠營造股份有限公司
101,,關廟區新光公館農路改善工程,關廟區,1333.4,247,農業工程及農路改善,農業局,公開招標,國誠營造股份有限公司
101,,大內區二溪舊社中溝農路排水改善工程,大內區,500,480,農業工程及農路改善,農業局,公開招標,永大土木包工業
101,,東山區南勢里坪頂農路改善工程,東山區,164,230,農業工程及農路改善,農業局,公開招標,奕昌土木包工業
101,,七股區十份里第一鄰旁農產道路改善工程,七股區,1500,1417,農業工程及農路改善,農業局,公開招標,吉田土木包工業
101,,七股區三股里西側產業道路改善工程,七股區,273,226,農業工程及農路改善,農業局,公開招標,吉田土木包工業
101,,新化區礁坑里藥師精舍前道路崩塌改善工程,新化區,900,920,農業工程及農路改善,農業局,公開招標,三和土木包工業
101,,新化區礁坑里九層嶺12及30-2號前道路改善工程,新化區,600,546,農業工程及農路改善,農業局,公開招標,堆高營造工程有限公司
101,,"玉井區三埔里三條溝農路支線(二埔高分36右11電 桿旁)路基改善工程",玉井區,600,237,農業工程及農路改善,農業局,公開招標,明進土木包工業
101,,鹽水區汫水里東西一路道路改善工程,鹽水區,216,168,農業工程及農路改善,農業局,公開招標,大地土木包工業
101,,官田區拔林農路排水溝後續工程,官田區,480,902,農業工程及農路改善,農業局,公開招標,菁穎土木包工業
101,,山上區玉峰里埔羌農路支線改善工程,山上區,1520,894,農業工程及農路改善,農業局,公開招標,上仁土木包工業
101,,安定區六嘉里農路改善工程,安定區,550,747,農業工程及農路改善,農業局,公開招標,瑞億土木包工業
101,,東山區南勢里中旬崙農路改善工程,東山區,205,175,農業工程及農路改善,農業局,公開招標,奕昌土木包工業
101,,東山區南勢里蕃薯科農路改善工程,東山區,1270,655,農業工程及農路改善,農業局,公開招標,奕昌土木包工業
101,,東山區南勢里崁頭山(3)農路改善工程,東山區,180,120,農業工程及農路改善,農業局,公開招標,奕昌土木包工業
101,,大內區曲溪蘆芝坑農路改善工程,大內區,1468,1468,農業工程及農路改善,農業局,公開招標,永大土木包工業
101,,大內區二溪舊社山尾農路二期改善工程,大內區,1300,807,農業工程及農路改善,農業局,公開招標,永大土木包工業
101,,關廟區東勢三元帥農路改善工程,關廟區,321.26,1000,農業工程及農路改善,農業局,公開招標,恆昌土木包工業
101,,關廟區深坑洲尾農路改善工程,關廟區,246.75,1167,農業工程及農路改善,農業局,公開招標,恆昌土木包工業
101,,七股區十份里海埔魚塭產業道路改善工程,七股區,900,426,漁業建設,農業局,公開招標,百利土木包工業
101,,豐和里養魚排水西側漁塭道路路面改善工程,學甲區,240,196,漁業建設,農業局,公開招標,吉田土木包工業
101,,光華里畚箕湖漁塭道路改善工程,學甲區,240,158,漁業建設,農業局,公開招標,吉田土木包工業
101,,麻豆區港尾里魚塭道路柏油封面改善工程,麻豆區,315,243,漁業建設,農業局,公開招標,吉田土木包工業
101,,保安生產區排水擋土牆掏空災修工程,北門區,80,81.5,漁業建設,農業局,逕洽廠商,頤承土木包工業
101,,臺南市安南區青砂街65巷等3座新建橋樑改善工程,安南區,9467,5447.65,漁業建設,農業局,公開招標,龍藝土木包工業
101,,蘆竹溝地區產業道路路面拓寬改善工程,北門區,600,250,漁業建設,農業局,公開招標,世全土木包工業
101,,楠西區灣丘南寮農路改善工程,楠西區,1009.6,750,農業工程及農路改善,農業局,公開招標,長青土木包工業
101,,新化區那拔里89-16號前排水溝改善工程,新化區,500,912,農業工程及農路改善,農業局,公開招標,南銘營造有限公司
101,,新化區羊林里1-1號前道路路面改善工程,新化區,400,245,農業工程及農路改善,農業局,公開招標,金拓土木包工業
101,,龍崎區土崎里崩山（土崎高分117右1）農路改善工程,龍崎區,900,600,農業工程及農路改善,農業局,公開招標,進元土木包工業
101,,大內區頭社里三崁農路改善工程,大內區,945,735,農業工程及農路改善,農業局,公開招標,永大土木包工業
101,,大內區二溪里大匏崙農路改善工程,大內區,896.9,750,農業工程及農路改善,農業局,公開招標,新志發營造有限公司
101,,大內區環湖里內埔坑、崩仔坪農路改善工程,大內區,593.1,230,農業工程及農路改善,農業局,公開招標,永大土木包工業
101,,大內區環湖里崩坪腳農路排水改善工程,大內區,500,304,農業工程及農路改善,農業局,公開招標,永大土木包工業
101,,學甲區豐和里隴西宗祠農路路面及排水改善工程,學甲區,1260,1249,農業工程及農路改善,農業局,公開招標,侍強營造股份有限公司
101,,學甲區光華里南1線及171線路口旁農路路面改善工程,學甲區,800,673,農業工程及農路改善,農業局,公開招標,吉田土木包工業
101,,學甲區秀昌里玉京觀後產業道路改善工程,學甲區,500,326,農業工程及農路改善,農業局,公開招標,啟發土木包工業
101,,大內區二溪里其瓦高幹55旁農路改善工程,大內區,300,443,農業工程及農路改善,農業局,公開招標,新志發營造有限公司
101,,佳里區安西里往26線及19線農路改善工程,佳里區,472.5,420,農業工程及農路改善,農業局,公開招標,大承土木包工業
101,,東山區高原里茶園農路改善工程,東山區,975,975,農業工程及農路改善,農業局,公開取得,宏益土木包工業
101,,七股區溪南里南側漁產道路改善工程,七股區,881,625,漁業建設,農業局,公開招標,百利土木包工業
101,,七股區十份里東魚塭3、4、5號橋周邊產業道路改善工程,七股區,2200,1200,漁業建設,農業局,公開招標,戴竹工程有限公司
101,,101年度官田區莿仔埔橋農路改善工程,官田區,390,312,農業工程及農路改善,農業局,公開招標,久明土木包工業
101,,七股區十份里東魚塭四安宮週邊道路改善工程,七股區,3136,945,漁業建設,農業局,公開招標,戴竹工程有限公司
101,,七股區十份里東魚塭北側魚塭道路改善工程,七股區,278,126,漁業建設,農業局,公開招標,戴竹工程有限公司
101,,南化區玉山里羌黃坑桃仔農路改善工程,南化區,858,816,農業工程及農路改善,農業局,辦理發包中,
101,,101年度官田區莿仔埔農路改善工程,官田區,870,868,農業工程及農路改善,農業局,公開招標,聯豐土木包工業
101,,101年度官田區雙溪子農路防護改善工程,官田區,1900,830,農業工程及農路改善,農業局,公開招標,國興土木包工業
101,,新化區礁坑里172線往公墓農路改善工程,新化區,400,284,農業工程及農路改善,農業局,公開招標,鍵豐土木包工業
101,,沙田里坑內水崎橋農路支線(坑內高分41右4電桿旁)改善工程,玉井區,250,50,農業工程及農路改善,農業局,公開招標,明進土木包工業
101,,玉山里隘寮腳農路改善工程,南化區,1680.75,214,農業工程及農路改善,農業局,公開招標,上展土木包工業
101,,玉山里烏山農路改善工程,南化區,731.7,946,農業工程及農路改善,農業局,公開招標,上展土木包工業
101,,關廟區深坑蓮埤農路改善工程,關廟區,423.6,424,農業工程及農路改善,農業局,公開招標,合順興營造有限公司
101,,汴頭里林子內農路(五汴頭小段250-207地號)改善工程,白河區,231,231,農業工程及農路改善,農業局,公開取得,鑫億土木包工業
101,,將軍區長沙里漁塭排水改善工程,將軍區,1250,392,漁業建設,農業局,公開招標,山源土木包工業
101,,崎頂里嶺頂農路改善工程,龍崎區,234,332,農業工程及農路改善,農業局,公開招標,聖勳營造有限公司
101,,101-密枝雙溪農路改善工程,楠西區,200,200,農業工程及農路改善,農業局,公開取得,建欣土木包工業
101,,101-楠西區灣丘牛稠農路改善工程,楠西區,105.7,105,農業工程及農路改善,農業局,公開取得,建欣土木包工業
101,,虎山里(木屐寮段442-53地號旁)農路改善工程,白河區,252,240,農業工程及農路改善,農業局,公開取得,玖郁土木包工業
101,,汴頭里(五汴頭小段543-10地號旁)農路改善工程,白河區,156,136.5,農業工程及農路改善,農業局,公開取得,玖郁土木包工業
101,,七股區三股里榮民之家北側漁產道路改善工程,七股區,396,340,漁業建設,農業局,公開招標,吉田土木包工業
101,,安清路養殖漁業路面坑洞搶修工程,安南區,58,57.607,漁業建設,農業局,逕洽廠商,支信土木包工業
101,,平和里倒芳橋東西兩側漁塭道路改善工程,學甲區,1230,357,漁業建設,農業局,公開招標,吉田土木包工業
101,,大內區頭社三崁井仔腳農路護欄增建工程,大內區,192,180,農業工程及農路改善,農業局,公開招標,進佶營造有限公司
101,,101-楠西區車官寮農路改善工程,楠西區,218.5,218.5,農業工程及農路改善,農業局,公開取得,建欣土木包工業
101,,玉井區竹圍里山腳農路改善工程,玉井區,200,100,農業工程及農路改善,農業局,公開招標,冠頂土木包工業
101,,七股區十份里海埔魚塭道路改善工程,七股區,1182,336,漁業建設,農業局,公開招標,吉田土木包工業
101,,北門海埔養殖生產區鄰近2號水門掏空搶修,北門區,21,20.7,漁業建設,農業局,逕洽廠商,鄭武忠
101,,三股里三股國小北側漁產道路改善工程,七股區,386,386.4,漁業建設,農業局,公開招標,吉田土木包工業
101,,沙田里坑內(坑內高分77左4電桿旁)農路改善工程,玉井區,342.5,342.5,農業工程及農路改善,農業局,辦理發包中,
101,,龍船里水崛坪(龍船高枝6旁)農路排水改善工程,龍崎區,159,132,農業工程及農路改善,農業局,辦理發包中,
101,,新化區那拔里北勢尾農路旁擋土牆改善工程,新化區,400,260,農業工程及農路改善,農業局,辦理發包中,
101,,玉井區三埔里二埔農路（玉寮高幹37右11電桿旁）改善工程,玉井區,490,428,農業工程及農路改善,農業局,辦理發包中,
101,,玉井區竹圍里舊香蕉市農路改善工程,玉井區,420,420,農業工程及農路改善,農業局,辦理發包中,
101,,歸仁區武東里區界處農路路面改善工程,歸仁區,371,157,農業工程及農路改善,農業局,公開取得,昱發土木包工業
101,,關廟區內溪農路改善二期工程,關廟區,329.69,330,農業工程及農路改善,農業局,辦理發包中,
101,,佳里區南26線接南27線農路改善工程,佳里區,950,950,農業工程及農路改善,農業局,辦理發包中,
101,,大內區二溪里頂大坪大匏高幹12左1農路改善工程,大內區,431,431,農業工程及農路改善,農業局,辦理發包中,
101,,101-灣丘石草農路改善工程,楠西區,3000,245.6,農業工程及農路改善,農業局,公開取得,建欣土木包工業
101,,大林里(糞箕湖小段132-2地號旁)農路改善工程,白河區,904,274,農業工程及農路改善,農業局,辦理發包中,
101,,沙田里虎尾高枝45電桿旁農路改善工程,玉井區,197,253,農業工程及農路改善,農業局,辦理發包中,
101,,望明里劉陳13鄰道路(梅干高分22左20左1電桿旁)改善工程,玉井區,140,140,農業工程及農路改善,農業局,辦理發包中,
101,,學甲區宅港里及光華里漁產道路改善工程,學甲區,210,210,漁業建設,農業局,辦理發包中,
101,,101年度安南區城西里城西街三段510巷1弄附近排水溝新建工程,安南區,150,150,農業工程及農路改善,農業局,辦理發包中,
101,,沙田里石草路(玉寮高幹81右9電桿旁)農路修復工程,玉井區,68,68,農業工程及農路改善,農業局,公開取得,得意土木包工業
101,,龍船里五間農路改善工程,龍崎區,217.5,339,農業工程及農路改善,農業局,辦理發包中,
101,,新市區永就里下甲橋旁農路改善工程,新市區,301,490,農業工程及農路改善,農業局,辦理發包中,
